cancer,conv_type,fusion,lr,mixup_alpha,split_seed,status,accuracy,macro_f1,weighted_f1,low_n_warn
BRCA,gat,cross,1e-4,0.1,1,ok,0.7407,0.6724,0.7552,False
BRCA,gat,cross,1e-4,0.1,2,ok,0.7778,0.7239,0.7902,False
BRCA,gat,cross,1e-4,0.1,3,ok,0.7037,0.6541,0.7226,False
BRCA,gat,cross,1e-4,0.1,4,ok,0.7333,0.6976,0.7498,False
BRCA,gat,cross,1e-4,0.2,0,ok,0.7259,0.7089,0.735,False
BRCA,gat,cross,1e-4,0.2,1,ok,0.7704,0.7076,0.784,False
BRCA,gat,cross,1e-4,0.2,2,ok,0.7778,0.7239,0.7902,False
BRCA,gat,cross,1e-4,0.2,3,ok,0.7037,0.6627,0.723,False
BRCA,gat,cross,1e-4,0.2,4,ok,0.7333,0.6976,0.7498,False
BRCA,gat,cross,5e-4,0.0,0,ok,0.7778,0.7565,0.7823,False
BRCA,gat,cross,5e-4,0.0,1,ok,0.8296,0.771,0.8357,False
BRCA,gat,cross,5e-4,0.0,2,ok,0.837,0.8008,0.8443,False
BRCA,gat,cross,5e-4,0.0,3,ok,0.763,0.7222,0.7769,False
BRCA,gat,cross,5e-4,0.0,4,ok,0.7926,0.7523,0.8036,False
BRCA,gat,cross,5e-4,0.1,0,ok,0.7704,0.7629,0.7759,False
BRCA,gat,cross,5e-4,0.1,1,ok,0.7778,0.7081,0.7914,False
BRCA,gat,cross,5e-4,0.1,2,ok,0.8519,0.8168,0.8579,False
BRCA,gat,cross,5e-4,0.1,3,ok,0.7556,0.7399,0.7737,False
BRCA,gat,cross,5e-4,0.1,4,ok,0.7778,0.7422,0.793,False
BRCA,gat,cross,5e-4,0.2,0,ok,0.7556,0.7481,0.7619,False
BRCA,gat,cross,5e-4,0.2,1,ok,0.7852,0.7218,0.7997,False
BRCA,gat,cross,5e-4,0.2,2,ok,0.837,0.7956,0.8452,False
BRCA,gat,cross,5e-4,0.2,3,ok,0.7407,0.7178,0.7615,False
BRCA,gat,cross,5e-4,0.2,4,ok,0.7778,0.7538,0.7935,False
BRCA,gcn,attn,1e-3,0.0,0,ok,0.8148,0.7835,0.8176,False
BRCA,gcn,attn,1e-3,0.0,1,ok,0.8074,0.755,0.8118,False
BRCA,gcn,attn,1e-3,0.0,2,ok,0.837,0.7789,0.8455,False
BRCA,gcn,attn,1e-3,0.0,3,ok,0.7926,0.7495,0.803,False
BRCA,gcn,attn,1e-3,0.0,4,ok,0.8222,0.7541,0.8285,False
BRCA,gcn,attn,1e-3,0.1,0,ok,0.7778,0.7579,0.7849,False
BRCA,gcn,attn,1e-3,0.1,1,ok,0.7926,0.7353,0.8019,False
BRCA,gcn,attn,1e-3,0.1,2,ok,0.8074,0.7781,0.8168,False
BRCA,gcn,attn,1e-3,0.1,3,ok,0.7556,0.7302,0.7723,False
BRCA,gcn,attn,1e-3,0.1,4,ok,0.7926,0.764,0.8024,False
BRCA,gcn,attn,1e-3,0.2,0,ok,0.7704,0.7536,0.7776,False
BRCA,gcn,attn,1e-3,0.2,1,ok,0.8074,0.7514,0.8142,False
BRCA,gcn,attn,1e-3,0.2,2,ok,0.7852,0.7585,0.7967,False
BRCA,gcn,attn,1e-3,0.2,3,ok,0.7704,0.7395,0.7868,False
BRCA,gcn,attn,1e-3,0.2,4,ok,0.7926,0.7551,0.8036,False
BRCA,gcn,attn,1e-4,0.0,0,ok,0.7704,0.7363,0.7809,False
BRCA,gcn,attn,1e-4,0.0,1,ok,0.7778,0.7295,0.7871,False
BRCA,gcn,attn,1e-4,0.0,2,ok,0.7926,0.7528,0.8034,False
BRCA,gcn,attn,1e-4,0.0,3,ok,0.7481,0.7058,0.7635,False
BRCA,gcn,attn,1e-4,0.0,4,ok,0.7926,0.736,0.8049,False
BRCA,gcn,attn,1e-4,0.1,0,ok,0.7704,0.7517,0.7824,False
BRCA,gcn,attn,1e-4,0.1,1,ok,0.7704,0.7108,0.7831,False
BRCA,gcn,attn,1e-4,0.1,2,ok,0.7778,0.7345,0.7935,False
BRCA,gcn,attn,1e-4,0.1,3,ok,0.7111,0.6911,0.7317,False
BRCA,gcn,attn,1e-4,0.1,4,ok,0.7704,0.7201,0.7847,False
BRCA,gcn,attn,1e-4,0.2,0,ok,0.7704,0.7517,0.7824,False
BRCA,gcn,attn,1e-4,0.2,1,ok,0.7704,0.7108,0.7831,False
BRCA,gcn,attn,1e-4,0.2,2,ok,0.7778,0.7345,0.7935,False
BRCA,gcn,attn,1e-4,0.2,3,ok,0.6963,0.6707,0.7175,False
BRCA,gcn,attn,1e-4,0.2,4,ok,0.763,0.7159,0.7774,False
BRCA,gcn,attn,5e-4,0.0,0,ok,0.8148,0.7784,0.8195,False
BRCA,gcn,attn,5e-4,0.0,1,ok,0.8,0.7457,0.8055,False
BRCA,gcn,attn,5e-4,0.0,2,ok,0.837,0.7657,0.846,False
BRCA,gcn,attn,5e-4,0.0,3,ok,0.7778,0.7434,0.7905,False
