rank,cancer,conv_type,fusion,lr,mixup_alpha,n_splits,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,any_low_n_warn
1,LGG,gat,cross,1e-3,0.1,5,0.9719999999999999,0.017888543819998333,0.9643599999999999,0.022739898856415364,0.9718199999999999,0.017957783827633064,False
2,GBM,gat,cross,1e-3,0.1,5,0.8,0.09284077767877649,0.8087,0.09341097365941542,0.79538,0.096345171129642,False
3,OV,gat,cross,1e-3,0.1,5,0.75438,0.05116661020626633,0.7557,0.049709506133133144,0.75772,0.05192077618834292,False
4,COAD,gat,cross,1e-3,0.1,5,0.7547,0.05503389864438101,0.5241199999999999,0.03388638369611011,0.7635400000000001,0.04965619800186076,True
